Make,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Drivetrain,Seating Capacity,Fuel Tank Capacity,Volume,Power_bhp,Power_rpm,Torque_Nm,Torque_rpm
Hyundai,455000,2015,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,FWD,5.0,43.0,9499848.0,79.0,6000.0,112.0,4000.0
BMW,1800000,2012,74073,Diesel,Automatic,Hyderabad,Black,First,Individual,AWD,5.0,67.0,14521936.968,184.0,4000.0,380.0,1750.0
Toyota,3499000,2019,73000,Diesel,Automatic,Mumbai,White,First,Individual,RWD,7.0,80.0,16321820.375,174.0,3400.0,450.0,1600.0
Honda,190000,2006,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,FWD,5.0,50.0,11532937.5,130.0,6300.0,171.62,4300.0
Maruti Suzuki,775000,2021,24000,Petrol,Automatic,Agra,Grey,First,Individual,FWD,5.0,37.0,10206744.75,89.0,6000.0,113.0,4400.0
Hyundai,825000,2021,43000,Diesel,Manual,Agra,White,First,Individual,FWD,5.0,37.0,10672143.125,99.0,4000.0,240.0,1500.0
Audi,2250000,2016,40500,Diesel,Automatic,Goa,White,First,Individual,FWD,5.0,50.0,11332214.016,141.0,3500.0,320.0,1750.0
Honda,865000,2017,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
Ford,299000,2013,64983,Diesel,Manual,Mumbai,Red,First,Individual,FWD,5.0,45.0,9097981.2,68.0,4000.0,160.0,2000.0
Honda,570000,2017,92270,Petrol,Manual,Mumbai,Brown,First,Individual,FWD,5.0,40.0,10344444.88,89.0,6000.0,110.0,4800.0
Volkswagen,385000,2013,65000,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,45.0,9702465.62,74.0,5400.0,110.0,3750.0
Honda,350000,2014,110000,Diesel,Manual,Warangal,Black,First,Individual,FWD,5.0,35.0,10088316.0,99.0,3600.0,200.0,1750.0
Toyota,2345000,2017,47000,Petrol,Automatic,Delhi,Brown,First,Individual,FWD,5.0,70.0,13032325.0,179.0,6000.0,233.0,4100.0
Mahindra,1650000,2022,10000,Petrol,Automatic,Jalandhar,Black,First,Individual,AWD,4.0,57.0,13373978.8,150.0,5000.0,320.0,1500.0
Audi,2900000,2018,35000,Diesel,Automatic,Pune,White,First,Individual,AWD,5.0,64.0,12910527.48,184.0,3500.0,380.0,1750.0
Maruti Suzuki,545000,2017,61518,Petrol,Manual,Noida,Red,First,Individual,FWD,5.0,37.0,10456912.5,83.0,6000.0,115.0,4000.0
BMW,2990000,2018,34000,Diesel,Automatic,Delhi,White,First,Corporate,RWD,5.0,63.0,14065642.92,184.0,4000.0,350.0,1750.0
Maruti Suzuki,615000,2017,36058,Petrol,Manual,Mumbai,Silver,First,Individual,FWD,5.0,37.0,10456912.5,83.0,6000.0,115.0,4000.0
Hyundai,890000,2016,88000,Diesel,Automatic,Ahmedabad,Silver,First,Individual,FWD,5.0,60.0,12388978.0,126.0,4000.0,265.0,1900.0
Volkswagen,430000,2015,98112,Petrol,Manual,Mumbai,Brown,First,Individual,FWD,5.0,55.0,10919377.856,103.0,5250.0,153.0,3800.0
Mercedes-Benz,1650000,2013,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,RWD,5.0,66.0,11771229.24,170.0,4200.0,400.0,2800.0
Toyota,1599000,2015,92355,Petrol,Automatic,Mumbai,Silver,First,Individual,FWD,5.0,65.0,13032325.0,202.0,5700.0,270.0,4500.0
Maruti Suzuki,691000,2019,16652,Petrol,Manual,Ahmedabad,White,First,Individual,FWD,5.0,37.0,10500957.375,89.0,6000.0,113.0,4400.0
Nissan,650000,2016,76584,Diesel,Manual,Mumbai,White,First,Individual,FWD,5.0,50.0,13185998.022,108.0,3900.0,248.0,2250.0
Maruti Suzuki,415000,2015,42500,CNG,Manual,Mumbai,Brown,First,Individual,FWD,5.0,35.0,9146858.5,58.0,6200.0,77.0,3500.0
Maruti Suzuki,669000,2016,70000,Diesel,Manual,Mohali,Grey,First,Individual,FWD,5.0,48.0,11727722.0,89.0,4000.0,200.0,1750.0
Porsche,16200000,2022,2766,Petrol,Automatic,Mumbai,Blue,First,Individual,AWD,4.0,75.0,16388217.948,335.0,5300.0,450.0,1340.0
Mercedes-Benz,5100000,2017,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,RWD,4.0,59.0,11950658.94,241.0,5500.0,370.0,1300.0
Hyundai,525000,2015,68766,Petrol,Manual,Mumbai,Silver,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Hyundai,750000,2018,16339,Petrol,Manual,Kolkata,Black,First,Individual,FWD,5.0,43.0,10970312.5,121.0,6300.0,158.0,4200.0
Honda,445000,2016,63882,Petrol,Manual,Mumbai,Bronze,First,Individual,FWD,5.0,35.0,10088316.0,87.0,6000.0,109.0,4500.0
Toyota,493000,2012,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,FWD,5.0,55.0,11825792.0,138.0,6400.0,173.0,4000.0
Hyundai,611000,2017,51349,Petrol,Manual,Nagpur,Red,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Hyundai,475000,2014,61866,Petrol,Automatic,Thane,White,First,Individual,FWD,5.0,43.0,9499848.0,79.0,6000.0,112.0,4000.0
Hyundai,925000,2017,29401,Petrol,Manual,Mumbai,Grey,First,Individual,FWD,5.0,60.0,12388978.0,122.0,6400.0,154.0,4850.0
Audi,1325000,2012,98580,Diesel,Automatic,Goa,White,First,Individual,FWD,5.0,65.0,13401583.05,177.0,3750.0,380.0,1750.0
BMW,3900000,2021,8000,Diesel,Automatic,Delhi,Black,First,Individual,RWD,5.0,63.0,14065642.92,184.0,4000.0,350.0,1750.0
Mahindra,1299000,2020,31348,Diesel,Manual,Bangalore,White,First,Individual,FWD,5.0,42.0,11836254.165,115.0,3750.0,300.0,1500.0
Maruti Suzuki,580000,2018,28851,Diesel,Manual,Kolkata,Blue,First,Corporate,FWD,5.0,37.0,10193472.0,74.0,4000.0,190.0,2000.0
Mahindra,1575000,2021,8519,Petrol,Manual,Mumbai,Blue,First,Individual,AWD,4.0,57.0,13373978.8,150.0,5000.0,300.0,1250.0
Mercedes-Benz,2250000,2015,48000,Diesel,Automatic,Mumbai,White,First,Individual,RWD,5.0,80.0,13333311.684,204.0,4200.0,500.0,1600.0
Toyota,1400000,2014,143000,Diesel,Automatic,Faridabad,White,Second,Individual,RWD,7.0,80.0,16015820.0,169.0,3600.0,360.0,1400.0
Tata,425000,2017,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,FWD,5.0,44.0,10700287.9,74.0,4000.0,190.0,1750.0
Skoda,425000,2014,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,FWD,5.0,55.0,10924359.324,104.0,5250.0,153.0,3800.0
Maruti Suzuki,250000,2015,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,FWD,5.0,35.0,7461361.25,47.0,6000.0,69.0,3500.0
Maruti Suzuki,425000,2012,78000,Diesel,Manual,Jalandhar,White,Second,Individual,FWD,7.0,45.0,12181159.875,89.0,4000.0,200.0,1750.0
Ford,235000,2014,82000,Diesel,Manual,Ludhiana,White,Second,Individual,FWD,5.0,45.0,9097981.2,68.0,4000.0,160.0,2000.0
Audi,3050000,2020,40910,Diesel,Automatic,Bangalore,White,First,Individual,FWD,5.0,50.0,11332214.016,141.0,3500.0,320.0,1750.0
Tata,2145000,2020,10290,Diesel,Manual,Bangalore,Red,First,Individual,FWD,5.0,50.0,14856892.072,168.0,3750.0,350.0,1750.0
Hyundai,1245000,2021,10530,Petrol,Automatic,Bangalore,Red,First,Individual,FWD,5.0,37.0,10672143.125,118.0,6000.0,172.0,1500.0
Hyundai,549000,2015,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Volkswagen,484999,2013,78000,Diesel,Manual,Bangalore,White,Second,Individual,FWD,5.0,45.0,9702465.62,74.0,4200.0,180.0,2000.0
Maruti Suzuki,415000,2014,57402,Petrol,Manual,Delhi,Grey,First,Individual,FWD,5.0,42.0,10529721.375,85.0,6000.0,114.0,4000.0
Hyundai,200000,2013,57000,CNG,Manual,Kanpur,White,First,Individual,FWD,5.0,35.0,8644233.75,62.0,5500.0,96.0,3000.0
Hyundai,375000,2015,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Hyundai,1875000,2022,18000,Petrol,Automatic,Delhi,Black,First,Individual,FWD,5.0,50.0,12584595.0,138.0,6000.0,242.0,1500.0
Audi,2950000,2020,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,AWD,5.0,55.0,12065096.52,188.0,4200.0,320.0,1500.0
Audi,4900000,2018,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,AWD,7.0,75.0,17299664.64,245.0,2910.0,600.0,1500.0
Hyundai,1050000,2020,16282,Petrol,Automatic,Pune,White,First,Individual,FWD,5.0,37.0,10672143.125,118.0,6000.0,172.0,1500.0
Hyundai,470000,2013,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,FWD,5.0,43.0,10957775.0,126.0,4000.0,260.0,1900.0
Maruti Suzuki,345000,2017,72019,Petrol,Manual,Ranchi,Silver,Second,Individual,FWD,5.0,35.0,9146858.5,67.0,6200.0,90.0,3500.0
Hyundai,484999,2018,55221,Petrol,Manual,Mumbai,White,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Toyota,3350000,2018,25000,Diesel,Automatic,Noida,White,First,Individual,RWD,7.0,80.0,16321820.375,174.0,3400.0,450.0,1600.0
Audi,5651000,2022,1,Petrol,Automatic,Delhi,Blue,UnRegistered Car,Individual,AWD,5.0,70.0,14682770.466,248.0,5000.0,370.0,1600.0
Renault,890000,2020,23500,Petrol,Manual,Chennai,White,First,Individual,FWD,5.0,50.0,13464944.4,105.0,5600.0,142.0,4000.0
Maruti Suzuki,325000,2012,68000,Petrol,Manual,Kanpur,White,Second,Individual,FWD,5.0,42.0,10529721.375,85.0,6000.0,114.0,4000.0
Hyundai,1390000,2019,29096,Petrol,Automatic,Mumbai,White,First,Individual,FWD,5.0,55.0,12654999.0,122.0,6400.0,151.0,4850.0
Hyundai,459999,2016,61223,Petrol,Manual,Kanpur,White,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Jeep,1075000,2017,86000,Diesel,Manual,Ludhiana,White,First,Individual,FWD,5.0,60.0,13103780.4,171.0,3750.0,350.0,1750.0
Hyundai,484999,2013,87000,Diesel,Manual,Ludhiana,White,First,Individual,FWD,5.0,45.0,11323221.0,126.0,4000.0,260.0,1500.0
Hyundai,385000,2013,79287,Petrol,Manual,Kanpur,White,First,Individual,FWD,5.0,45.0,10281332.25,83.0,6000.0,113.796,4000.0
Audi,3900000,2018,48945,Diesel,Automatic,Goa,Black,First,Corporate,FWD,5.0,75.0,13450663.11,190.0,3800.0,400.0,1750.0
Mahindra,1050000,2019,17000,Diesel,Manual,Lucknow,Green,First,Individual,FWD,8.0,45.0,15177652.14,121.0,3500.0,300.0,1750.0
Kia,1575000,2019,55000,Diesel,Manual,Lucknow,Silver,First,Individual,FWD,5.0,50.0,12776715.0,113.0,4000.0,250.0,1500.0
Maruti Suzuki,655000,2016,38779,Petrol,Manual,Mumbai,Blue,First,Individual,FWD,5.0,37.0,10456912.5,83.0,6000.0,115.0,4000.0
Mercedes-Benz,4500000,2019,72000,Diesel,Automatic,Pune,White,First,Individual,RWD,5.0,80.0,14069266.92,192.0,3800.0,400.0,1600.0
Maruti Suzuki,865000,2016,67000,Diesel,Manual,Navi Mumbai,White,First,Individual,FWD,7.0,45.0,12269698.2,89.0,4000.0,200.0,1750.0
Hyundai,699000,2017,67000,Petrol,Manual,Navi Mumbai,White,First,Individual,FWD,5.0,43.0,10957775.0,121.0,6300.0,158.0,4200.0
Hyundai,425000,2012,70000,Diesel,Manual,Jalandhar,White,Second,Individual,FWD,5.0,43.0,10957775.0,126.0,4000.0,260.0,1900.0
Land Rover,6500000,2020,6000,Diesel,Automatic,Hyderabad,White,First,Individual,AWD,7.0,70.0,16407997.6,177.0,4000.0,430.0,1750.0
Toyota,2900000,2017,46000,Diesel,Automatic,Delhi,White,First,Individual,RWD,7.0,80.0,16321820.375,174.0,3400.0,450.0,1600.0
Mercedes-Benz,4550000,2017,34000,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,AWD,5.0,93.0,18530192.284,201.0,3800.0,500.0,1600.0
Hyundai,490000,2015,23103,Petrol,Manual,Udupi,White,First,Individual,FWD,5.0,43.0,10080184.0,81.0,6000.0,114.0,4000.0
Mercedes-Benz,11500000,2016,27000,Petrol,Automatic,Delhi,Blue,First,Individual,RWD,4.0,70.0,15512160.006,453.0,5250.0,700.0,1800.0
Hyundai,1475000,2019,9576,Petrol,Automatic,Bangalore,White,First,Individual,FWD,5.0,55.0,12654999.0,122.0,6400.0,151.0,4850.0
MG,1764999,2021,1942,Petrol,Automatic,Bangalore,Red,First,Individual,FWD,5.0,48.0,12903506.55,108.0,6000.0,144.0,4400.0
Maruti Suzuki,245000,2016,55000,Petrol,Manual,Faridabad,White,First,Individual,FWD,5.0,35.0,7461361.25,47.0,6000.0,69.0,3500.0
Renault,490000,2015,98000,Diesel,Manual,Jamshedpur,White,Second,Individual,FWD,5.0,50.0,13325971.35,84.0,3750.0,200.0,1900.0
Hyundai,550000,2017,61400,Petrol,Manual,Aurangabad,Grey,First,Individual,FWD,5.0,43.0,9499848.0,81.0,6000.0,114.0,4000.0
Honda,675000,2016,87693,Petrol,Manual,Pune,Red,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
Mercedes-Benz,2225000,2015,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,RWD,5.0,66.0,12230553.72,181.0,5500.0,300.0,1200.0
Hyundai,560000,2016,75210,Diesel,Manual,Ahmedabad,White,First,Individual,FWD,5.0,40.0,10399534.95,89.0,4000.0,220.0,1500.0
Skoda,225000,2012,69000,Petrol,Manual,Mumbai,Silver,First,Individual,FWD,5.0,45.0,9996496.0,105.0,5250.0,153.0,3800.0
Skoda,499000,2014,88000,Diesel,Automatic,Pune,Black,Second,Individual,FWD,5.0,55.0,10924359.324,103.0,4400.0,250.0,1500.0
Kia,1055000,2020,15000,Petrol,Automatic,Kolkata,Gold,First,Individual,FWD,5.0,45.0,11777779.35,118.0,6000.0,172.0,1500.0
Mahindra,2048999,2020,45350,Diesel,Automatic,Bangalore,White,First,Individual,FWD,7.0,70.0,15468185.25,153.0,3750.0,360.0,1750.0
BMW,2775000,2018,68189,Diesel,Automatic,Jaipur,Brown,First,Individual,RWD,5.0,57.0,11989828.727,188.0,4000.0,400.0,1750.0
Mercedes-Benz,1650000,2015,75000,Diesel,Automatic,Faridabad,White,First,Individual,FWD,5.0,50.0,11904592.392,134.0,3600.0,300.0,1600.0
Audi,1450000,2014,33000,Diesel,Automatic,Faridabad,Red,Second,Individual,FWD,5.0,65.0,13401583.05,177.0,3750.0,380.0,1750.0
Mahindra,600000,2014,83000,Diesel,Manual,Rudrapur,White,Second,Individual,RWD,8.0,60.0,15897387.25,120.0,4000.0,290.0,1800.0
Toyota,1675000,2014,211000,Diesel,Manual,Jaipur,White,First,Individual,AWD,7.0,80.0,16015820.0,169.0,3600.0,343.0,1400.0
Hyundai,575000,2015,67000,Petrol,Manual,Hyderabad,White,First,Individual,FWD,5.0,45.0,10399534.95,82.0,6000.0,115.0,4000.0
Ford,699000,2017,75000,Diesel,Manual,Mumbai,Grey,First,Individual,FWD,5.0,52.0,12055465.38,99.0,3750.0,205.0,1750.0
Audi,2450000,2014,48600,Diesel,Automatic,Nashik,Blue,Second,Individual,AWD,6.0,100.0,17528912.919,241.0,3800.0,550.0,1750.0
Mercedes-Benz,2775000,2016,48000,Diesel,Automatic,Delhi,Black,First,Individual,RWD,5.0,66.0,12230553.72,204.0,3800.0,500.0,1600.0
Maruti Suzuki,430000,2020,5790,Petrol,Manual,Hyderabad,Silver,First,Individual,FWD,5.0,27.0,8475003.2,67.0,5500.0,90.0,3500.0
Mahindra,1165000,2018,32000,Diesel,Manual,Patna,White,First,Individual,RWD,7.0,60.0,16179290.4,120.0,4000.0,280.0,1800.0
MG,1780000,2020,65433,Diesel,Manual,Lucknow,Black,First,Individual,FWD,5.0,60.0,15033788.0,169.0,3750.0,350.0,1750.0
Maruti Suzuki,495000,2017,38258,Diesel,Manual,Varanasi,White,Second,Individual,FWD,5.0,37.0,10193472.0,74.0,4000.0,190.0,2000.0
Honda,975000,2019,56881,Petrol,Manual,Lucknow,Silver,First,Individual,FWD,5.0,40.0,11251071.0,117.0,6600.0,145.0,4600.0
Renault,425000,2014,72000,Diesel,Manual,Ludhiana,White,Second,Individual,FWD,5.0,50.0,13325971.35,108.0,3900.0,248.0,2250.0
Audi,1350000,2012,72000,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,AWD,5.0,64.0,12910527.48,174.0,4200.0,380.0,1750.0
Volvo,1250000,2013,71141,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,FWD,5.0,60.0,11360313.18,150.0,3500.0,350.0,1500.0
BMW,5600000,2018,40937,Diesel,Automatic,Chennai,White,First,Individual,RWD,5.0,65.0,15018452.784,258.0,4000.0,560.0,1500.0
Maruti Suzuki,560000,2013,37000,Diesel,Manual,Salem,Gold,First,Individual,FWD,5.0,42.0,10529721.375,74.0,4000.0,190.0,2000.0
Mahindra,1221000,2019,46000,Diesel,Manual,Patna,White,First,Individual,RWD,7.0,60.0,16179290.4,120.0,4000.0,280.0,1800.0
Mercedes-Benz,1300000,2012,64800,Petrol,Automatic,Delhi,Silver,First,Individual,RWD,5.0,66.0,11771229.24,186.0,5600.0,285.0,4000.0
Hyundai,950000,2016,73000,Diesel,Automatic,Dehradun,Silver,First,Individual,FWD,5.0,60.0,12388978.0,126.0,4000.0,265.0,1900.0
